stop_id,stop_code,stop_name,stop_lat,stop_lon
100092,100092,LUCILE AVE SW @ HOLDERNESS ST SW,33.742246,-84.427138
100094,100094,LUCILE AVE SW @ DARGAN PL SW,33.742257,-84.424801
101022,101022,ATLANTA STUDENT MOVEMENT BLVD @ LAWSHE ST SW,33.749366,-84.411069
101024,101024,ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,33.749556,-84.412599
101026,101026,ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,33.749457,-84.414271
101030,101030,PETERS ST SW @ FAIR ST SW,33.748085,-84.401161
101036,101036,ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,33.74902,-84.406578
101038,101038,ATLANTA STUDENT MOVEMENT BLVD @ VINE ST SW,33.749146,-84.407845
100062,100062,HOLDERNESS ST SW@WESTVIEW DR SW,33.747425,-84.426987
100063,100063,WESTVIEW DR SW@LANGHORN ST SW,33.747154,-84.427994
100066,100066,WESTVIEW DR SW@ATWOOD ST SW,33.747192,-84.429146
100067,100067,WESTVIEW DR SW@HOPKINS ST SW,33.747363,-84.430916
100069,100069,WESTVIEW DR SW@CHICAMAUGA AVE SW,33.747379,-84.432101
100070,100070,WESTVIEW DR SW @ CHICAMAUGA AVE SW,33.74728,-84.432645
100074,100074,LUCILE AVE SW @ JOSEPH E LOWERY BLVD,33.742268,-84.418137
100076,100076,LUCILE AVE SW @ PEEPLES ST SW,33.742294,-84.420334
100078,100078,LUCILE AVE SW @ LAWTON ST SW,33.742287,-84.422523
100080,100080,LUCILE AVE SW @ LAWTON ST SW,33.742287,-84.423462
900149,99370,CASCADE AVE SW@WESTWOOD AVE SW,33.738094,-84.435317
900150,99372,CASCADE AVE@ROGERS AVE,33.737154,-84.435783
900151,99374,CASCADE AVE SW@OLYMPIAN WAY SW,33.735372,-84.436595
900153,99386,CASCADE AVE SW@ALTADENA PL SW,33.729692,-84.440967
900155,99389,CASCADE AVE@CASCADE TER,33.727756,-84.443485
900156,99402,RALPH D ABERNATHY BLVD @ 1701,33.748112,-84.44256
900157,99403,RALPH D ABERNATHY BLVD SW @ WESTVIEW DR SW,33.747236,-84.441721
